N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0
   1,0.112E+02,.57735E+00,  3522.881, 0.192E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.500E-05,0.100E+02,0.180E-04,.11498E+04,0.247E-05,  15.53279,  -0.01575,    0.2186108896E+05,    0.1135762109E+05,    0.1186566134E+05,    0.6587254661E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1137823900E+09
   2,0.112E+02,.57735E+00,  3522.881, 0.217E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.566E-05,0.113E+02,0.181E-04,.11498E+04,0.279E-05,  15.53230,  -0.01575,    0.2186228217E+05,    0.1135762967E+05,    0.1186548432E+05,    0.6587257362E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1005827084E+09
   3,0.112E+02,.57735E+00,  3522.881, 0.247E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.640E-05,0.128E+02,0.185E-04,.11498E+04,0.316E-05,  15.53602,  -0.01576,    0.2186365677E+05,    0.1135763956E+05,    0.1186528039E+05,    0.6587260475E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.8891409100E+08
   4,0.112E+02,.57735E+00,  3522.881, 0.280E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.724E-05,0.145E+02,0.188E-04,.11498E+04,0.357E-05,  15.53967,  -0.01576,    0.2186524210E+05,    0.1135765096E+05,    0.1186504520E+05,    0.6587264064E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.7859893708E+08
   5,0.112E+02,.57735E+00,  3522.881, 0.319E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.819E-05,0.164E+02,0.192E-04,.11499E+04,0.404E-05,  15.54325,  -0.01576,    0.2186707252E+05,    0.1135766413E+05,    0.1186477365E+05,    0.6587268208E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.6948024657E+08
   6,0.112E+02,.57735E+00,  3522.881, 0.364E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.926E-05,0.185E+02,0.196E-04,.11499E+04,0.457E-05,  15.54675,  -0.01576,    0.2186918836E+05,    0.1135767935E+05,    0.1186445976E+05,    0.6587272998E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.6141923052E+08
   7,0.112E+02,.57735E+00,  3522.881, 0.417E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.105E-04,0.210E+02,0.201E-04,.11499E+04,0.517E-05,  15.55016,  -0.01576,    0.2187163707E+05,    0.1135769697E+05,    0.1186409649E+05,    0.6587278542E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.5429319863E+08
   8,0.112E+02,.57735E+00,  3522.881, 0.477E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.119E-04,0.237E+02,0.206E-04,.11499E+04,0.585E-05,  15.55346,  -0.01576,    0.2187447447E+05,    0.1135771738E+05,    0.1186367556E+05,    0.6587284965E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.4799369188E+08
   9,0.112E+02,.57735E+00,  3522.881, 0.547E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.134E-04,0.268E+02,0.211E-04,.11500E+04,0.662E-05,  15.55663,  -0.01576,    0.2187776638E+05,    0.1135774107E+05,    0.1186318721E+05,    0.6587292417E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.4242483173E+08
  10,0.112E+02,.57735E+00,  3522.881, 0.629E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.152E-04,0.303E+02,0.217E-04,.11500E+04,0.749E-05,  15.55966,  -0.01576,    0.2188159048E+05,    0.1135776858E+05,    0.1186261992E+05,    0.6587301074E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.3750186079E+08
