N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.119E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.200E-03,0.100E+02,0.111E-04,.69274E+03,0.410E-05,  32.00164,  -0.03304,    0.3288333593E+04,    0.3901155187E+04,    0.1820808453E+04,    0.2209717989E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.130E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.218E-03,0.109E+02,0.114E-04,.69274E+03,0.447E-05,  32.00059,  -0.03304,    0.3288432066E+04,    0.3901156414E+04,    0.1820804493E+04,    0.2209718588E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.143E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.238E-03,0.119E+02,0.120E-04,.69275E+03,0.487E-05,  32.00317,  -0.03304,    0.3288545199E+04,    0.3901157822E+04,    0.1820799944E+04,    0.2209719276E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.157E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.259E-03,0.129E+02,0.127E-04,.69276E+03,0.530E-05,  32.00571,  -0.03303,    0.3288675174E+04,    0.3901159441E+04,    0.1820794717E+04,    0.2209720066E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.174E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.282E-03,0.141E+02,0.134E-04,.69276E+03,0.578E-05,  32.00821,  -0.03303,    0.3288824499E+04,    0.3901161300E+04,    0.1820788713E+04,    0.2209720975E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.193E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.308E-03,0.154E+02,0.141E-04,.69277E+03,0.630E-05,  32.01065,  -0.03303,    0.3288996056E+04,    0.3901163436E+04,    0.1820781814E+04,    0.2209722018E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.215E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.335E-03,0.168E+02,0.149E-04,.69278E+03,0.687E-05,  32.01303,  -0.03303,    0.3289193155E+04,    0.3901165891E+04,    0.1820773889E+04,    0.2209723216E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.240E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.365E-03,0.183E+02,0.157E-04,.69279E+03,0.748E-05,  32.01535,  -0.03303,    0.3289419598E+04,    0.3901168710E+04,    0.1820764783E+04,    0.2209724593E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.269E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.398E-03,0.199E+02,0.165E-04,.69281E+03,0.815E-05,  32.01759,  -0.03302,    0.3289679757E+04,    0.3901171950E+04,    0.1820754321E+04,    0.2209726175E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.302E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.434E-03,0.217E+02,0.174E-04,.69282E+03,0.889E-05,  32.01974,  -0.03302,    0.3289978652E+04,    0.3901175672E+04,    0.1820742302E+04,    0.2209727993E+04
  11,0.139E+02,0.577E+00,  3522.881, 0.341E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.473E-03,0.236E+02,0.184E-04,.69284E+03,0.969E-05,  32.02179,  -0.03302,    0.3290322052E+04,    0.3901179948E+04,    0.1820728494E+04,    0.2209730081E+04
  12,0.139E+02,0.577E+00,  3522.881, 0.384E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.515E-03,0.258E+02,0.194E-04,.69286E+03,0.106E-04,  32.02373,  -0.03301,    0.3290716587E+04,    0.3901184861E+04,    0.1820712629E+04,    0.2209732480E+04
  13,0.139E+02,0.577E+00,  3522.881, 0.435E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.562E-03,0.281E+02,0.204E-04,.69288E+03,0.115E-04,  32.02554,  -0.03301,    0.3291169873E+04,    0.3901190506E+04,    0.1820694401E+04,    0.2209735237E+04
  14,0.139E+02,0.577E+00,  3522.881, 0.493E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.612E-03,0.306E+02,0.215E-04,.69290E+03,0.125E-04,  32.02721,  -0.03300,    0.3291690664E+04,    0.3901196991E+04,    0.1820673459E+04,    0.2209738403E+04
  15,0.139E+02,0.577E+00,  3522.881, 0.560E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.667E-03,0.333E+02,0.227E-04,.69293E+03,0.137E-04,  32.02871,  -0.03300,    0.3292289016E+04,    0.3901204442E+04,    0.1820649398E+04,    0.2209742042E+04
  16,0.139E+02,0.577E+00,  3522.881, 0.636E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.727E-03,0.363E+02,0.239E-04,.69297E+03,0.149E-04,  32.03001,  -0.03299,    0.3292976487E+04,    0.3901213003E+04,    0.1820621754E+04,    0.2209746222E+04
  17,0.139E+02,0.577E+00,  3522.881, 0.724E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.792E-03,0.396E+02,0.252E-04,.69301E+03,0.162E-04,  32.03110,  -0.03298,    0.3293766359E+04,    0.3901222840E+04,    0.1820589991E+04,    0.2209751024E+04
  18,0.139E+02,0.577E+00,  3522.881, 0.826E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.863E-03,0.432E+02,0.266E-04,.69305E+03,0.177E-04,  32.03194,  -0.03297,    0.3294673895E+04,    0.3901234142E+04,    0.1820553497E+04,    0.2209756542E+04
  19,0.139E+02,0.577E+00,  3522.881, 0.942E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.941E-03,0.470E+02,0.280E-04,.69310E+03,0.193E-04,  32.03249,  -0.03297,    0.3295716636E+04,    0.3901247129E+04,    0.1820511566E+04,    0.2209762882E+04
  20,0.139E+02,0.577E+00,  3522.881, 0.108E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.103E-02,0.513E+02,0.296E-04,.69316E+03,0.210E-04,  32.03272,  -0.03296,    0.3296914744E+04,    0.3901262050E+04,    0.1820463388E+04,    0.2209770166E+04
  21,0.139E+02,0.577E+00,  3522.881, 0.123E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.112E-02,0.559E+02,0.312E-04,.69323E+03,0.229E-04,  32.03258,  -0.03295,    0.3298291391E+04,    0.3901279196E+04,    0.1820408030E+04,    0.2209778536E+04
  22,0.139E+02,0.577E+00,  3522.881, 0.141E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.122E-02,0.609E+02,0.329E-04,.69331E+03,0.249E-04,  32.03201,  -0.03294,    0.3299873214E+04,    0.3901298898E+04,    0.1820344421E+04,    0.2209788152E+04
  23,0.139E+02,0.577E+00,  3522.881, 0.161E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.133E-02,0.664E+02,0.346E-04,.69339E+03,0.272E-04,  32.03095,  -0.03292,    0.3301690831E+04,    0.3901321538E+04,    0.1820271330E+04,    0.2209799201E+04
  24,0.139E+02,0.577E+00,  3522.881, 0.184E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.145E-02,0.723E+02,0.365E-04,.69350E+03,0.296E-04,  32.02933,  -0.03291,    0.3303779444E+04,    0.3901347554E+04,    0.1820187341E+04,    0.2209811896E+04
  25,0.139E+02,0.577E+00,  3522.881, 0.211E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.158E-02,0.788E+02,0.385E-04,.69361E+03,0.323E-04,  32.02707,  -0.03290,    0.3306179522E+04,    0.3901377452E+04,    0.1820090827E+04,    0.2209826484E+04
  26,0.139E+02,0.577E+00,  3522.881, 0.242E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.500E+05,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.172E-02,0.859E+02,0.406E-04,.69375E+03,0.352E-04,  32.02408,  -0.03288,    0.3308937602E+04,    0.3901411811E+04,    0.1819979917E+04,    0.2209843246E+04
