N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.458E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.100E-04,0.100E+02,0.114E-04,.70117E+03,0.405E-05,  31.60693,  -0.03262,    0.3451449937E+04,    0.3974265004E+04,    0.1880891375E+04,    0.2257720152E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.516E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.112E-04,0.112E+02,0.119E-04,.70117E+03,0.455E-05,  31.60790,  -0.03262,    0.3451504092E+04,    0.3974265672E+04,    0.1880889164E+04,    0.2257720475E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.587E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.126E-04,0.126E+02,0.127E-04,.70118E+03,0.511E-05,  31.61157,  -0.03262,    0.3451569402E+04,    0.3974266477E+04,    0.1880886496E+04,    0.2257720865E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.672E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.142E-04,0.142E+02,0.137E-04,.70118E+03,0.574E-05,  31.61520,  -0.03262,    0.3451648167E+04,    0.3974267449E+04,    0.1880883279E+04,    0.2257721335E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.774E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.159E-04,0.159E+02,0.147E-04,.70118E+03,0.645E-05,  31.61880,  -0.03261,    0.3451743158E+04,    0.3974268620E+04,    0.1880879399E+04,    0.2257721902E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.898E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.179E-04,0.179E+02,0.158E-04,.70119E+03,0.724E-05,  31.62234,  -0.03261,    0.3451857717E+04,    0.3974270033E+04,    0.1880874720E+04,    0.2257722585E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.105E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.201E-04,0.201E+02,0.169E-04,.70120E+03,0.813E-05,  31.62582,  -0.03261,    0.3451995876E+04,    0.3974271737E+04,    0.1880869077E+04,    0.2257723410E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.123E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.226E-04,0.226E+02,0.182E-04,.70120E+03,0.914E-05,  31.62923,  -0.03260,    0.3452162497E+04,    0.3974273792E+04,    0.1880862272E+04,    0.2257724404E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.144E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.254E-04,0.254E+02,0.195E-04,.70121E+03,0.103E-04,  31.63257,  -0.03260,    0.3452363445E+04,    0.3974276270E+04,    0.1880854065E+04,    0.2257725603E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.171E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.285E-04,0.285E+02,0.209E-04,.70122E+03,0.115E-04,  31.63581,  -0.03259,    0.3452605793E+04,    0.3974279259E+04,    0.1880844166E+04,    0.2257727050E+04
