N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.119E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.100E-04,0.100E+02,0.111E-04,.69274E+03,0.410E-05,  32.00164,  -0.03304,    0.3288333593E+04,    0.3901155187E+04,    0.1820808453E+04,    0.2209717989E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.134E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.112E-04,0.112E+02,0.115E-04,.69275E+03,0.460E-05,  32.00108,  -0.03304,    0.3288470025E+04,    0.3901156886E+04,    0.1820802967E+04,    0.2209718819E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.152E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.126E-04,0.126E+02,0.124E-04,.69275E+03,0.517E-05,  32.00456,  -0.03303,    0.3288634609E+04,    0.3901158936E+04,    0.1820796349E+04,    0.2209719820E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.175E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.142E-04,0.142E+02,0.133E-04,.69276E+03,0.581E-05,  32.00796,  -0.03303,    0.3288833154E+04,    0.3901161408E+04,    0.1820788365E+04,    0.2209721027E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.201E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.159E-04,0.159E+02,0.143E-04,.69278E+03,0.652E-05,  32.01127,  -0.03303,    0.3289072670E+04,    0.3901164390E+04,    0.1820778733E+04,    0.2209722484E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.233E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.179E-04,0.179E+02,0.153E-04,.69279E+03,0.733E-05,  32.01447,  -0.03303,    0.3289361612E+04,    0.3901167988E+04,    0.1820767115E+04,    0.2209724241E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.272E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.201E-04,0.201E+02,0.165E-04,.69281E+03,0.823E-05,  32.01754,  -0.03302,    0.3289710183E+04,    0.3901172329E+04,    0.1820753098E+04,    0.2209726360E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.319E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.226E-04,0.226E+02,0.177E-04,.69283E+03,0.925E-05,  32.02045,  -0.03302,    0.3290130689E+04,    0.3901177565E+04,    0.1820736189E+04,    0.2209728918E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.376E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.254E-04,0.254E+02,0.190E-04,.69285E+03,0.104E-04,  32.02319,  -0.03301,    0.3290637984E+04,    0.3901183882E+04,    0.1820715789E+04,    0.2209732002E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.444E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.285E-04,0.285E+02,0.204E-04,.69288E+03,0.117E-04,  32.02570,  -0.03301,    0.3291249983E+04,    0.3901191503E+04,    0.1820691180E+04,    0.2209735724E+04
