N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
   1,0.112E+02,.57735E+00,  3522.881, 0.192E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.500E-05,0.100E+02,0.180E-04,.11498E+04,0.247E-05,  15.53279,  -0.01575,    0.2186108894E+05,    0.1135762106E+05,    0.1186566133E+05,    0.6587254647E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1137823900E+09,    0.3557774294E+06
   2,0.112E+02,.57735E+00,  3522.881, 0.217E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.566E-05,0.113E+02,0.181E-04,.11498E+04,0.279E-05,  15.53230,  -0.01575,    0.2186228215E+05,    0.1135762964E+05,    0.1186548431E+05,    0.6587257349E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1005827083E+09,    0.3523826538E+06
   3,0.112E+02,.57735E+00,  3522.881, 0.247E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.640E-05,0.128E+02,0.185E-04,.11498E+04,0.316E-05,  15.53602,  -0.01576,    0.2186365676E+05,    0.1135763953E+05,    0.1186528038E+05,    0.6587260461E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.8891409096E+08,    0.3459977582E+06
   4,0.112E+02,.57735E+00,  3522.881, 0.280E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.724E-05,0.145E+02,0.188E-04,.11498E+04,0.357E-05,  15.53967,  -0.01576,    0.2186524208E+05,    0.1135765093E+05,    0.1186504519E+05,    0.6587264050E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.7859893705E+08,    0.3393543852E+06
   5,0.112E+02,.57735E+00,  3522.881, 0.319E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.819E-05,0.164E+02,0.192E-04,.11499E+04,0.404E-05,  15.54325,  -0.01576,    0.2186707250E+05,    0.1135766410E+05,    0.1186477364E+05,    0.6587268194E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.6948024654E+08,    0.3324600169E+06
   6,0.112E+02,.57735E+00,  3522.881, 0.364E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.926E-05,0.185E+02,0.196E-04,.11499E+04,0.457E-05,  15.54675,  -0.01576,    0.2186918834E+05,    0.1135767932E+05,    0.1186445975E+05,    0.6587272985E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.6141923050E+08,    0.3253239701E+06
   7,0.112E+02,.57735E+00,  3522.881, 0.417E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.105E-04,0.210E+02,0.201E-04,.11499E+04,0.517E-05,  15.55016,  -0.01576,    0.2187163705E+05,    0.1135769694E+05,    0.1186409648E+05,    0.6587278528E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5429319861E+08,    0.3179574067E+06
   8,0.112E+02,.57735E+00,  3522.881, 0.477E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.119E-04,0.237E+02,0.206E-04,.11499E+04,0.585E-05,  15.55346,  -0.01576,    0.2187447445E+05,    0.1135771735E+05,    0.1186367555E+05,    0.6587284952E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.4799369187E+08,    0.3103733157E+06
   9,0.112E+02,.57735E+00,  3522.881, 0.547E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.134E-04,0.268E+02,0.211E-04,.11500E+04,0.662E-05,  15.55663,  -0.01576,    0.2187776636E+05,    0.1135774104E+05,    0.1186318720E+05,    0.6587292404E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.4242483171E+08,    0.3025864644E+06
  10,0.112E+02,.57735E+00,  3522.881, 0.629E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.152E-04,0.303E+02,0.217E-04,.11500E+04,0.749E-05,  15.55966,  -0.01576,    0.2188159046E+05,    0.1135776855E+05,    0.1186261991E+05,    0.6587301060E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3750186077E+08,    0.2946133187E+06
  11,0.112E+02,.57735E+00,  3522.881, 0.723E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.172E-04,0.343E+02,0.223E-04,.11500E+04,0.847E-05,  15.56252,  -0.01576,    0.2188603855E+05,    0.1135780056E+05,    0.1186196006E+05,    0.6587311128E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3314985280E+08,    0.2864719309E+06
  12,0.112E+02,.57735E+00,  3522.881, 0.834E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.194E-04,0.388E+02,0.229E-04,.11501E+04,0.958E-05,  15.56518,  -0.01576,    0.2189121924E+05,    0.1135783784E+05,    0.1186119155E+05,    0.6587322854E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2930257230E+08,    0.2781817969E+06
  13,0.112E+02,.57735E+00,  3522.881, 0.963E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.220E-04,0.439E+02,0.237E-04,.11502E+04,0.108E-04,  15.56762,  -0.01576,    0.2189726124E+05,    0.1135788132E+05,    0.1186029529E+05,    0.6587336528E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2590146638E+08,    0.2697636839E+06
  14,0.112E+02,.57735E+00,  3522.881, 0.111E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.248E-04,0.497E+02,0.244E-04,.11502E+04,0.123E-04,  15.56980,  -0.01576,    0.2190431722E+05,    0.1135793210E+05,    0.1185924864E+05,    0.6587352495E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2289477361E+08,    0.2612394318E+06
  15,0.112E+02,.57735E+00,  3522.881, 0.129E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.281E-04,0.562E+02,0.252E-04,.11503E+04,0.139E-04,  15.57167,  -0.01575,    0.2191256847E+05,    0.1135799149E+05,    0.1185802474E+05,    0.6587371166E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2023673620E+08,    0.2526317309E+06
