N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
   1,0.874E+01,.57735E+00,  3522.881, 0.457E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.500E-05,0.100E+02,0.427E-03,.17062E+04,0.166E-05,   2.64622,  -0.00220,    0.5624358970E+05,    0.1879016049E+05,    0.3139002720E+05,    0.1085282144E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1694474897E+09,    0.4575658410E+04
   2,0.874E+01,.57735E+00,  3522.881, 0.516E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.566E-05,0.113E+02,0.425E-03,.17059E+04,0.188E-05,   2.70367,  -0.00226,    0.5630135912E+05,    0.1879049892E+05,    0.3134598964E+05,    0.1085276539E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1498241394E+09,    0.4596936973E+04
   3,0.874E+01,.57735E+00,  3522.881, 0.584E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.640E-05,0.128E+02,0.425E-03,.17054E+04,0.213E-05,   2.71495,  -0.00227,    0.5636660129E+05,    0.1879088171E+05,    0.3129630808E+05,    0.1085270227E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1324766975E+09,    0.4601066474E+04
   4,0.874E+01,.57735E+00,  3522.881, 0.660E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.724E-05,0.145E+02,0.425E-03,.17050E+04,0.241E-05,   2.72714,  -0.00228,    0.5644026682E+05,    0.1879131464E+05,    0.3124027916E+05,    0.1085263122E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1171411252E+09,    0.4605747115E+04
   5,0.874E+01,.57735E+00,  3522.881, 0.746E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.819E-05,0.164E+02,0.425E-03,.17044E+04,0.273E-05,   2.74036,  -0.00229,    0.5652342256E+05,    0.1879180427E+05,    0.3117711762E+05,    0.1085255131E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1035840056E+09,    0.4611063071E+04
   6,0.874E+01,.57735E+00,  3522.881, 0.844E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.926E-05,0.185E+02,0.425E-03,.17038E+04,0.309E-05,   2.75473,  -0.00231,    0.5661726452E+05,    0.1879235802E+05,    0.3110594835E+05,    0.1085246151E+05,    0.2625432416E+06,    0.2944055304E+06,    0.9159899127E+08,    0.4617110030E+04
   7,0.874E+01,.57735E+00,  3522.881, 0.954E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.105E-04,0.210E+02,0.425E-03,.17031E+04,0.349E-05,   2.77039,  -0.00232,    0.5672313172E+05,    0.1879298424E+05,    0.3102579830E+05,    0.1085236066E+05,    0.2625432416E+06,    0.2944055304E+06,    0.8100366359E+08,    0.4623996596E+04
   8,0.874E+01,.57735E+00,  3522.881, 0.108E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.119E-04,0.237E+02,0.425E-03,.17024E+04,0.395E-05,   2.78750,  -0.00234,    0.5684252118E+05,    0.1879369238E+05,    0.3093558811E+05,    0.1085224754E+05,    0.2625432416E+06,    0.2944055304E+06,    0.7163675646E+08,    0.4631845822E+04
   9,0.874E+01,.57735E+00,  3522.881, 0.122E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.134E-04,0.268E+02,0.425E-03,.17015E+04,0.447E-05,   2.80623,  -0.00235,    0.5697710372E+05,    0.1879449310E+05,    0.3083412396E+05,    0.1085212079E+05,    0.2625432416E+06,    0.2944055304E+06,    0.6335570199E+08,    0.4640796867E+04
  10,0.874E+01,.57735E+00,  3522.881, 0.138E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.152E-04,0.303E+02,0.424E-03,.17005E+04,0.506E-05,   2.82678,  -0.00237,    0.5712874064E+05,    0.1879539844E+05,    0.3072008976E+05,    0.1085197895E+05,    0.2625432416E+06,    0.2944055304E+06,    0.5603446088E+08,    0.4651006774E+04
