N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0
   1,0.683E+01,.57735E+00,  3522.881, 0.904E-04,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.500E-05,0.100E+02,0.129E-03,.24370E+04,0.116E-05,  -8.94274,   0.01002,    0.1069053233E+06,    0.3325547256E+05,    0.6073056843E+05,    0.1911817895E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2420697551E+09
   2,0.683E+01,.57735E+00,  3522.881, 0.102E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.566E-05,0.113E+02,0.132E-03,.24364E+04,0.132E-05,  -8.88362,   0.00996,    0.1069235717E+06,    0.3325561795E+05,    0.6068939095E+05,    0.1911796059E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2140483047E+09
   3,0.683E+01,.57735E+00,  3522.881, 0.116E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.640E-05,0.128E+02,0.133E-03,.24358E+04,0.149E-05,  -8.87194,   0.00995,    0.1069443731E+06,    0.3325578379E+05,    0.6064248045E+05,    0.1911771186E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1892780985E+09
   4,0.683E+01,.57735E+00,  3522.881, 0.132E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.724E-05,0.145E+02,0.134E-03,.24350E+04,0.169E-05,  -8.85919,   0.00994,    0.1069680962E+06,    0.3325597308E+05,    0.6058901741E+05,    0.1911742840E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1673820755E+09
   5,0.683E+01,.57735E+00,  3522.881, 0.150E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.819E-05,0.164E+02,0.135E-03,.24342E+04,0.191E-05,  -8.84524,   0.00993,    0.1069951654E+06,    0.3325618927E+05,    0.6052806083E+05,    0.1911710525E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1480269188E+09
   6,0.683E+01,.57735E+00,  3522.881, 0.171E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.926E-05,0.185E+02,0.137E-03,.24332E+04,0.216E-05,  -8.82989,   0.00992,    0.1070260698E+06,    0.3325643635E+05,    0.6045852936E+05,    0.1911673668E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1309179816E+09
   7,0.683E+01,.57735E+00,  3522.881, 0.194E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.105E-04,0.210E+02,0.138E-03,.24321E+04,0.245E-05,  -8.81295,   0.00991,    0.1070613740E+06,    0.3325671894E+05,    0.6037917950E+05,    0.1911631613E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1157948031E+09
   8,0.683E+01,.57735E+00,  3522.881, 0.221E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.119E-04,0.237E+02,0.140E-03,.24308E+04,0.277E-05,  -8.79418,   0.00989,    0.1071017301E+06,    0.3325704243E+05,    0.6028858008E+05,    0.1911583603E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1024271427E+09
   9,0.683E+01,.57735E+00,  3522.881, 0.252E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.134E-04,0.268E+02,0.142E-03,.24294E+04,0.313E-05,  -8.77330,   0.00988,    0.1071478929E+06,    0.3325741304E+05,    0.6018508278E+05,    0.1911528769E+05,    0.4025630978E+06,    0.4533421321E+06,    0.9061147632E+08
  10,0.683E+01,.57735E+00,  3522.881, 0.287E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.152E-04,0.303E+02,0.144E-03,.24277E+04,0.355E-05,  -8.74999,   0.00986,    0.1072007365E+06,    0.3325783807E+05,    0.6006678771E+05,    0.1911466108E+05,    0.4025630978E+06,    0.4533421321E+06,    0.8016789746E+08
  11,0.683E+01,.57735E+00,  3522.881, 0.328E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.172E-04,0.343E+02,0.146E-03,.24259E+04,0.402E-05,  -8.72389,   0.00984,    0.1072612755E+06,    0.3325832599E+05,    0.5993150350E+05,    0.1911394465E+05,    0.4025630978E+06,    0.4533421321E+06,    0.7093737877E+08
  12,0.683E+01,.57735E+00,  3522.881, 0.374E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.194E-04,0.388E+02,0.148E-03,.24237E+04,0.455E-05,  -8.69457,   0.00981,    0.1073306888E+06,    0.3325888678E+05,    0.5977670096E+05,    0.1911312508E+05,    0.4025630978E+06,    0.4533421321E+06,    0.6277935092E+08
  13,0.683E+01,.57735E+00,  3522.881, 0.428E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.220E-04,0.439E+02,0.151E-03,.24212E+04,0.515E-05,  -8.66152,   0.00978,    0.1074103488E+06,    0.3325953211E+05,    0.5959945935E+05,    0.1911218701E+05,    0.4025630978E+06,    0.4533421321E+06,    0.5556956229E+08
  14,0.683E+01,.57735E+00,  3522.881, 0.490E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.248E-04,0.497E+02,0.154E-03,.24183E+04,0.583E-05,  -8.62416,   0.00975,    0.1075018557E+06,    0.3326027574E+05,    0.5939640420E+05,    0.1911111273E+05,    0.4025630978E+06,    0.4533421321E+06,    0.4919818689E+08
  15,0.683E+01,.57735E+00,  3522.881, 0.561E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.281E-04,0.562E+02,0.157E-03,.24150E+04,0.660E-05,  -8.58181,   0.00972,    0.1076070786E+06,    0.3326113393E+05,    0.5916363566E+05,    0.1910988177E+05,    0.4025630978E+06,    0.4533421321E+06,    0.4356815163E+08
  16,0.683E+01,.57735E+00,  3522.881, 0.644E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.318E-04,0.636E+02,0.160E-03,.24113E+04,0.748E-05,  -8.53366,   0.00967,    0.1077282049E+06,    0.3326212593E+05,    0.5889664625E+05,    0.1910847055E+05,    0.4025630978E+06,    0.4533421321E+06,    0.3859365723E+08
  17,0.683E+01,.57735E+00,  3522.881, 0.739E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.360E-04,0.719E+02,0.164E-03,.24069E+04,0.848E-05,  -8.47878,   0.00962,    0.1078677997E+06,    0.3326327468E+05,    0.5859022696E+05,    0.1910685185E+05,    0.4025630978E+06,    0.4533421321E+06,    0.3419887025E+08
  18,0.683E+01,.57735E+00,  3522.881, 0.850E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.407E-04,0.813E+02,0.168E-03,.24019E+04,0.961E-05,  -8.41606,   0.00957,    0.1080288764E+06,    0.3326460756E+05,    0.5823836104E+05,    0.1910499433E+05,    0.4025630978E+06,    0.4533421321E+06,    0.3031676586E+08
  19,0.683E+01,.57735E+00,  3522.881, 0.979E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.460E-04,0.920E+02,0.173E-03,.23960E+04,0.109E-04,  -8.34419,   0.00950,    0.1082149834E+06,    0.3326615744E+05,    0.5783410537E+05,    0.1910286193E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2688810339E+08
  20,0.683E+01,.57735E+00,  3522.881, 0.113E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.520E-04,0.104E+03,0.178E-03,.23893E+04,0.124E-04,  -8.26163,   0.00942,    0.1084303079E+06,    0.3326796394E+05,    0.5736946015E+05,    0.1910041327E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2386051814E+08
  21,0.683E+01,.57735E+00,  3522.881, 0.131E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.589E-04,0.118E+03,0.184E-03,.23815E+04,0.140E-04,  -8.16653,   0.00933,    0.1086798022E+06,    0.3327007515E+05,    0.5683522972E+05,    0.1909760097E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2118771415E+08
  22,0.683E+01,.57735E+00,  3522.881, 0.151E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.666E-04,0.133E+03,0.191E-03,.23725E+04,0.159E-04,  -8.05674,   0.00923,    0.1089693374E+06,    0.3327254968E+05,    0.5622088027E+05,    0.1909437111E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1882874352E+08
  23,0.683E+01,.57735E+00,  3522.881, 0.175E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.753E-04,0.151E+03,0.198E-03,.23621E+04,0.181E-04,  -7.92966,   0.00911,    0.1093058901E+06,    0.3327545955E+05,    0.5551440561E+05,    0.1909066263E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1674735681E+08
  24,0.683E+01,.57735E+00,  3522.881, 0.204E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.852E-04,0.170E+03,0.207E-03,.23499E+04,0.206E-04,  -7.78220,   0.00896,    0.1096977695E+06,    0.3327889379E+05,    0.5470222095E+05,    0.1908640710E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1491140810E+08
  25,0.683E+01,.57735E+00,  3522.881, 0.238E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.964E-04,0.193E+03,0.217E-03,.23357E+04,0.234E-04,  -7.61069,   0.00879,    0.1101548917E+06,    0.3328296331E+05,    0.5376912010E+05,    0.1908152885E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1329229347E+08
  26,0.683E+01,.57735E+00,  3522.881, 0.278E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.109E-03,0.218E+03,0.228E-03,.23193E+04,0.267E-04,  -7.41074,   0.00859,    0.1106891052E+06,    0.3328780741E+05,    0.5269835681E+05,    0.1907594595E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1186439499E+08
  27,0.683E+01,.57735E+00,  3522.881, 0.326E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.123E-03,0.247E+03,0.241E-03,.23001E+04,0.304E-04,  -7.17717,   0.00836,    0.1113145664E+06,    0.3329360232E+05,    0.5147195397E+05,    0.1906957252E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1060449079E+08
  28,0.683E+01,.57735E+00,  3522.881, 0.385E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.140E-03,0.279E+03,0.257E-03,.22778E+04,0.348E-04,  -6.90384,   0.00808,    0.1120481436E+06,    0.3330057252E+05,    0.5007141413E+05,    0.1906232358E+05,    0.4025630978E+06,    0.4533421321E+06,    0.9491078118E+07
  29,0.683E+01,.57735E+00,  3522.881, 0.455E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.158E-03,0.316E+03,0.275E-03,.22520E+04,0.398E-04,  -6.58367,   0.00775,    0.1129097848E+06,    0.3330900520E+05,    0.4847911062E+05,    0.1905412360E+05,    0.4025630978E+06,    0.4533421321E+06,    0.8503550636E+07
  30,0.683E+01,.57735E+00,  3522.881, 0.541E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.179E-03,0.357E+03,0.296E-03,.22221E+04,0.456E-04,  -6.20871,   0.00737,    0.1139227024E+06,    0.3331926767E+05,    0.4668077842E+05,    0.1904492132E+05,    0.4025630978E+06,    0.4533421321E+06,    0.7621210067E+07
  31,0.683E+01,.57735E+00,  3522.881, 0.645E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.202E-03,0.404E+03,0.320E-03,.21878E+04,0.524E-04,  -5.77058,   0.00692,    0.1151130704E+06,    0.3333182583E+05,    0.4466963679E+05,    0.1903471305E+05,    0.4025630978E+06,    0.4533421321E+06,    0.6822267123E+07
