N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0
   1,0.132E+02,.57735E+00,  3522.881, 0.719E-05,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.500E-05,0.100E+02,0.114E-04,.86060E+03,0.330E-05,  24.94415,  -0.02562,    0.7187482616E+04,    0.5962438499E+04,    0.3770063039E+04,    0.3435309863E+04,    0.9338479569E+05,    0.2123964268E+06,    0.8517022513E+08
   2,0.132E+02,.57735E+00,  3522.881, 0.817E-05,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.566E-05,0.113E+02,0.118E-04,.86060E+03,0.373E-05,  24.94482,  -0.02562,    0.7187655562E+04,    0.5962440202E+04,    0.3770052729E+04,    0.3435310602E+04,    0.9338479569E+05,    0.2123964268E+06,    0.7528993502E+08
   3,0.132E+02,.57735E+00,  3522.881, 0.935E-05,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.640E-05,0.128E+02,0.127E-04,.86061E+03,0.422E-05,  24.94838,  -0.02562,    0.7187865730E+04,    0.5962442272E+04,    0.3770040201E+04,    0.3435311500E+04,    0.9338479569E+05,    0.2123964268E+06,    0.6655565289E+08
   4,0.132E+02,.57735E+00,  3522.881, 0.108E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.724E-05,0.145E+02,0.136E-04,.86061E+03,0.477E-05,  24.95187,  -0.02562,    0.7188121135E+04,    0.5962444787E+04,    0.3770024976E+04,    0.3435312592E+04,    0.9338479569E+05,    0.2123964268E+06,    0.5883444154E+08
   5,0.132E+02,.57735E+00,  3522.881, 0.126E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.819E-05,0.164E+02,0.146E-04,.86062E+03,0.540E-05,  24.95529,  -0.02561,    0.7188431517E+04,    0.5962447844E+04,    0.3770006474E+04,    0.3435313918E+04,    0.9338479569E+05,    0.2123964268E+06,    0.5200878360E+08
   6,0.132E+02,.57735E+00,  3522.881, 0.147E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.926E-05,0.185E+02,0.157E-04,.86063E+03,0.611E-05,  24.95861,  -0.02561,    0.7188808712E+04,    0.5962451558E+04,    0.3769983989E+04,    0.3435315530E+04,    0.9338479569E+05,    0.2123964268E+06,    0.4597479287E+08
   7,0.132E+02,.57735E+00,  3522.881, 0.173E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.105E-04,0.210E+02,0.169E-04,.86064E+03,0.691E-05,  24.96182,  -0.02561,    0.7189267105E+04,    0.5962456073E+04,    0.3769956663E+04,    0.3435317490E+04,    0.9338479569E+05,    0.2123964268E+06,    0.4064063313E+08
   8,0.132E+02,.57735E+00,  3522.881, 0.204E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.119E-04,0.237E+02,0.181E-04,.86066E+03,0.782E-05,  24.96491,  -0.02561,    0.7189824176E+04,    0.5962461559E+04,    0.3769923456E+04,    0.3435319870E+04,    0.9338479569E+05,    0.2123964268E+06,    0.3592512036E+08
   9,0.132E+02,.57735E+00,  3522.881, 0.242E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.134E-04,0.268E+02,0.195E-04,.86067E+03,0.884E-05,  24.96785,  -0.02560,    0.7190501166E+04,    0.5962468226E+04,    0.3769883100E+04,    0.3435322764E+04,    0.9338479569E+05,    0.2123964268E+06,    0.3175648713E+08
  10,0.132E+02,.57735E+00,  3522.881, 0.289E-04,15.814,0.840,   0.33333,   0.33333,   0.33333,1289.4,0.200E+07,   1.77852,   0.48778,   0.08884,  15.64451,   0.16908,0.152E-04,0.303E+02,0.209E-04,.86069E+03,0.100E-04,  24.97062,  -0.02560,    0.7191323883E+04,    0.5962476329E+04,    0.3769834056E+04,    0.3435326280E+04,    0.9338479569E+05,    0.2123964268E+06,    0.2807129026E+08
