N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.458E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.200E-03,0.100E+02,0.114E-04,.70117E+03,0.405E-05,  31.60693,  -0.03262,    0.3451449937E+04,    0.3974265004E+04,    0.1880891375E+04,    0.2257720152E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.500E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.218E-03,0.109E+02,0.117E-04,.70117E+03,0.441E-05,  31.60740,  -0.03262,    0.3451489026E+04,    0.3974265486E+04,    0.1880889779E+04,    0.2257720385E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.548E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.238E-03,0.119E+02,0.124E-04,.70117E+03,0.481E-05,  31.61012,  -0.03262,    0.3451533925E+04,    0.3974266040E+04,    0.1880887945E+04,    0.2257720653E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.604E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.259E-03,0.129E+02,0.131E-04,.70118E+03,0.524E-05,  31.61283,  -0.03262,    0.3451585496E+04,    0.3974266676E+04,    0.1880885839E+04,    0.2257720961E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.668E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.282E-03,0.141E+02,0.138E-04,.70118E+03,0.571E-05,  31.61551,  -0.03262,    0.3451644734E+04,    0.3974267406E+04,    0.1880883419E+04,    0.2257721314E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.742E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.308E-03,0.154E+02,0.145E-04,.70118E+03,0.622E-05,  31.61816,  -0.03262,    0.3451712775E+04,    0.3974268245E+04,    0.1880880640E+04,    0.2257721720E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.826E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.335E-03,0.168E+02,0.153E-04,.70119E+03,0.678E-05,  31.62079,  -0.03261,    0.3451790930E+04,    0.3974269209E+04,    0.1880877448E+04,    0.2257722187E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.923E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.365E-03,0.183E+02,0.161E-04,.70119E+03,0.739E-05,  31.62339,  -0.03261,    0.3451880702E+04,    0.3974270316E+04,    0.1880873781E+04,    0.2257722723E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.103E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.398E-03,0.199E+02,0.170E-04,.70120E+03,0.806E-05,  31.62595,  -0.03261,    0.3451983817E+04,    0.3974271588E+04,    0.1880869570E+04,    0.2257723338E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.116E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.434E-03,0.217E+02,0.179E-04,.70120E+03,0.878E-05,  31.62848,  -0.03261,    0.3452102258E+04,    0.3974273049E+04,    0.1880864732E+04,    0.2257724045E+04
  11,0.139E+02,0.577E+00,  3522.881, 0.131E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.473E-03,0.236E+02,0.189E-04,.70121E+03,0.957E-05,  31.63096,  -0.03260,    0.3452238305E+04,    0.3974274727E+04,    0.1880859176E+04,    0.2257724857E+04
  12,0.139E+02,0.577E+00,  3522.881, 0.148E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.515E-03,0.258E+02,0.199E-04,.70121E+03,0.104E-04,  31.63339,  -0.03260,    0.3452394574E+04,    0.3974276654E+04,    0.1880852793E+04,    0.2257725789E+04
  13,0.139E+02,0.577E+00,  3522.881, 0.167E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.562E-03,0.281E+02,0.209E-04,.70122E+03,0.114E-04,  31.63577,  -0.03259,    0.3452574072E+04,    0.3974278868E+04,    0.1880845462E+04,    0.2257726860E+04
  14,0.139E+02,0.577E+00,  3522.881, 0.189E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.612E-03,0.306E+02,0.221E-04,.70123E+03,0.124E-04,  31.63808,  -0.03259,    0.3452780252E+04,    0.3974281411E+04,    0.1880837041E+04,    0.2257728091E+04
  15,0.139E+02,0.577E+00,  3522.881, 0.215E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.667E-03,0.333E+02,0.233E-04,.70124E+03,0.135E-04,  31.64032,  -0.03258,    0.3453017081E+04,    0.3974284331E+04,    0.1880827368E+04,    0.2257729504E+04
  16,0.139E+02,0.577E+00,  3522.881, 0.244E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.727E-03,0.363E+02,0.245E-04,.70126E+03,0.147E-04,  31.64249,  -0.03258,    0.3453289116E+04,    0.3974287686E+04,    0.1880816257E+04,    0.2257731128E+04
  17,0.139E+02,0.577E+00,  3522.881, 0.278E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.792E-03,0.396E+02,0.258E-04,.70127E+03,0.160E-04,  31.64456,  -0.03257,    0.3453601592E+04,    0.3974291540E+04,    0.1880803494E+04,    0.2257732992E+04
  18,0.139E+02,0.577E+00,  3522.881, 0.317E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.863E-03,0.432E+02,0.272E-04,.70129E+03,0.175E-04,  31.64653,  -0.03257,    0.3453960522E+04,    0.3974295967E+04,    0.1880788834E+04,    0.2257735134E+04
  19,0.139E+02,0.577E+00,  3522.881, 0.361E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.941E-03,0.470E+02,0.287E-04,.70131E+03,0.190E-04,  31.64839,  -0.03256,    0.3454372814E+04,    0.3974301052E+04,    0.1880771995E+04,    0.2257737595E+04
  20,0.139E+02,0.577E+00,  3522.881, 0.413E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.103E-02,0.513E+02,0.303E-04,.70133E+03,0.208E-04,  31.65011,  -0.03255,    0.3454846405E+04,    0.3974306893E+04,    0.1880752652E+04,    0.2257740421E+04
  21,0.139E+02,0.577E+00,  3522.881, 0.471E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.112E-02,0.559E+02,0.319E-04,.70136E+03,0.226E-04,  31.65168,  -0.03254,    0.3455390411E+04,    0.3974313603E+04,    0.1880730433E+04,    0.2257743667E+04
  22,0.139E+02,0.577E+00,  3522.881, 0.539E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.122E-02,0.609E+02,0.336E-04,.70139E+03,0.246E-04,  31.65308,  -0.03253,    0.3456015307E+04,    0.3974321310E+04,    0.1880704910E+04,    0.2257747396E+04
  23,0.139E+02,0.577E+00,  3522.881, 0.616E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.133E-02,0.664E+02,0.354E-04,.70142E+03,0.269E-04,  31.65428,  -0.03252,    0.3456733127E+04,    0.3974330164E+04,    0.1880675591E+04,    0.2257751679E+04
  24,0.139E+02,0.577E+00,  3522.881, 0.706E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.145E-02,0.723E+02,0.373E-04,.70146E+03,0.293E-04,  31.65527,  -0.03251,    0.3457557696E+04,    0.3974340334E+04,    0.1880641913E+04,    0.2257756600E+04
  25,0.139E+02,0.577E+00,  3522.881, 0.808E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.158E-02,0.788E+02,0.394E-04,.70150E+03,0.319E-04,  31.65599,  -0.03250,    0.3458504898E+04,    0.3974352017E+04,    0.1880603225E+04,    0.2257762251E+04
  26,0.139E+02,0.577E+00,  3522.881, 0.925E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.172E-02,0.859E+02,0.415E-04,.70156E+03,0.348E-04,  31.65643,  -0.03249,    0.3459592987E+04,    0.3974365439E+04,    0.1880558784E+04,    0.2257768744E+04
  27,0.139E+02,0.577E+00,  3522.881, 0.106E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.187E-02,0.936E+02,0.437E-04,.70161E+03,0.379E-04,  31.65654,  -0.03247,    0.3460842933E+04,    0.3974380857E+04,    0.1880507731E+04,    0.2257776201E+04
  28,0.139E+02,0.577E+00,  3522.881, 0.122E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.204E-02,0.102E+03,0.461E-04,.70168E+03,0.413E-04,  31.65627,  -0.03246,    0.3462278836E+04,    0.3974398570E+04,    0.1880449083E+04,    0.2257784768E+04
  29,0.139E+02,0.577E+00,  3522.881, 0.139E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.222E-02,0.111E+03,0.486E-04,.70176E+03,0.450E-04,  31.65557,  -0.03244,    0.3463928390E+04,    0.3974418919E+04,    0.1880381709E+04,    0.2257794609E+04
  30,0.139E+02,0.577E+00,  3522.881, 0.160E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.500E+05,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.242E-02,0.121E+03,0.512E-04,.70185E+03,0.490E-04,  31.65438,  -0.03243,    0.3465823422E+04,    0.3974442297E+04,    0.1880304308E+04,    0.2257805914E+04
