N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.458E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.500E-05,0.100E+02,0.114E-04,.70117E+03,0.405E-05,  31.60693,  -0.03262,    0.3451449937E+04,    0.3974265004E+04,    0.1880891375E+04,    0.2257720152E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.520E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.566E-05,0.113E+02,0.119E-04,.70117E+03,0.458E-05,  31.60801,  -0.03262,    0.3451507681E+04,    0.3974265716E+04,    0.1880889017E+04,    0.2257720496E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.596E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.640E-05,0.128E+02,0.128E-04,.70118E+03,0.518E-05,  31.61190,  -0.03262,    0.3451578110E+04,    0.3974266585E+04,    0.1880886140E+04,    0.2257720917E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.689E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.724E-05,0.145E+02,0.138E-04,.70118E+03,0.586E-05,  31.61575,  -0.03262,    0.3451664010E+04,    0.3974267644E+04,    0.1880882632E+04,    0.2257721429E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.802E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.819E-05,0.164E+02,0.149E-04,.70118E+03,0.663E-05,  31.61955,  -0.03261,    0.3451768782E+04,    0.3974268936E+04,    0.1880878353E+04,    0.2257722055E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.940E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.926E-05,0.185E+02,0.161E-04,.70119E+03,0.750E-05,  31.62330,  -0.03261,    0.3451896570E+04,    0.3974270512E+04,    0.1880873133E+04,    0.2257722817E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.111E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.105E-04,0.210E+02,0.173E-04,.70120E+03,0.848E-05,  31.62697,  -0.03261,    0.3452052431E+04,    0.3974272434E+04,    0.1880866767E+04,    0.2257723747E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.131E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.119E-04,0.237E+02,0.187E-04,.70121E+03,0.960E-05,  31.63056,  -0.03260,    0.3452242533E+04,    0.3974274779E+04,    0.1880859003E+04,    0.2257724882E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.156E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.134E-04,0.268E+02,0.201E-04,.70122E+03,0.109E-04,  31.63406,  -0.03260,    0.3452474401E+04,    0.3974277638E+04,    0.1880849533E+04,    0.2257726266E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.187E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.152E-04,0.303E+02,0.217E-04,.70123E+03,0.123E-04,  31.63744,  -0.03259,    0.3452757210E+04,    0.3974281126E+04,    0.1880837982E+04,    0.2257727953E+04
  11,0.139E+02,0.577E+00,  3522.881, 0.224E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.200E+07,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.172E-04,0.343E+02,0.234E-04,.70125E+03,0.139E-04,  31.64068,  -0.03258,    0.3453102155E+04,    0.3974285381E+04,    0.1880823893E+04,    0.2257730012E+04
