N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.119E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.500E-05,0.100E+02,0.111E-04,.69274E+03,0.410E-05,  32.00164,  -0.03304,    0.3288333593E+04,    0.3901155187E+04,    0.1820808453E+04,    0.2209717989E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.135E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.566E-05,0.113E+02,0.116E-04,.69275E+03,0.464E-05,  32.00120,  -0.03304,    0.3288479068E+04,    0.3901156999E+04,    0.1820802603E+04,    0.2209718874E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.155E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.640E-05,0.128E+02,0.125E-04,.69276E+03,0.524E-05,  32.00488,  -0.03303,    0.3288656555E+04,    0.3901159209E+04,    0.1820795466E+04,    0.2209719953E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.179E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.724E-05,0.145E+02,0.134E-04,.69277E+03,0.593E-05,  32.00848,  -0.03303,    0.3288873098E+04,    0.3901161905E+04,    0.1820786759E+04,    0.2209721270E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.209E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.819E-05,0.164E+02,0.145E-04,.69278E+03,0.671E-05,  32.01197,  -0.03303,    0.3289137292E+04,    0.3901165195E+04,    0.1820776135E+04,    0.2209722877E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.244E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.926E-05,0.185E+02,0.156E-04,.69279E+03,0.759E-05,  32.01533,  -0.03303,    0.3289459626E+04,    0.3901169209E+04,    0.1820763173E+04,    0.2209724837E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.288E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.105E-04,0.210E+02,0.169E-04,.69281E+03,0.859E-05,  32.01855,  -0.03302,    0.3289852897E+04,    0.3901174106E+04,    0.1820747359E+04,    0.2209727228E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.342E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.119E-04,0.237E+02,0.182E-04,.69284E+03,0.971E-05,  32.02158,  -0.03302,    0.3290332722E+04,    0.3901180081E+04,    0.1820728064E+04,    0.2209730146E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.407E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.134E-04,0.268E+02,0.196E-04,.69287E+03,0.110E-04,  32.02438,  -0.03301,    0.3290918154E+04,    0.3901187371E+04,    0.1820704523E+04,    0.2209733706E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.487E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.152E-04,0.303E+02,0.212E-04,.69290E+03,0.124E-04,  32.02693,  -0.03300,    0.3291632448E+04,    0.3901196266E+04,    0.1820675800E+04,    0.2209738049E+04
  11,0.139E+02,0.577E+00,  3522.881, 0.584E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.172E-04,0.343E+02,0.228E-04,.69294E+03,0.141E-04,  32.02915,  -0.03300,    0.3292503982E+04,    0.3901207119E+04,    0.1820640754E+04,    0.2209743349E+04
  12,0.139E+02,0.577E+00,  3522.881, 0.702E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.194E-04,0.388E+02,0.246E-04,.69300E+03,0.159E-04,  32.03098,  -0.03299,    0.3293567390E+04,    0.3901220362E+04,    0.1820597992E+04,    0.2209749815E+04
  13,0.139E+02,0.577E+00,  3522.881, 0.847E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.220E-04,0.439E+02,0.266E-04,.69306E+03,0.180E-04,  32.03235,  -0.03298,    0.3294864942E+04,    0.3901236522E+04,    0.1820545815E+04,    0.2209757704E+04
  14,0.139E+02,0.577E+00,  3522.881, 0.102E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.248E-04,0.497E+02,0.287E-04,.69314E+03,0.203E-04,  32.03314,  -0.03296,    0.3296448236E+04,    0.3901256240E+04,    0.1820482147E+04,    0.2209767330E+04
  15,0.139E+02,0.577E+00,  3522.881, 0.124E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.281E-04,0.562E+02,0.309E-04,.69323E+03,0.230E-04,  32.03325,  -0.03295,    0.3298380261E+04,    0.3901280303E+04,    0.1820404456E+04,    0.2209779076E+04
  16,0.139E+02,0.577E+00,  3522.881, 0.150E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.318E-04,0.636E+02,0.333E-04,.69335E+03,0.260E-04,  32.03252,  -0.03293,    0.3300737918E+04,    0.3901309668E+04,    0.1820309649E+04,    0.2209793408E+04
  17,0.139E+02,0.577E+00,  3522.881, 0.182E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.360E-04,0.719E+02,0.360E-04,.69349E+03,0.294E-04,  32.03078,  -0.03292,    0.3303615109E+04,    0.3901345507E+04,    0.1820193950E+04,    0.2209810897E+04
  18,0.139E+02,0.577E+00,  3522.881, 0.221E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.407E-04,0.813E+02,0.388E-04,.69366E+03,0.333E-04,  32.02782,  -0.03289,    0.3307126517E+04,    0.3901389249E+04,    0.1820052746E+04,    0.2209832239E+04
  19,0.139E+02,0.577E+00,  3522.881, 0.269E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.460E-04,0.920E+02,0.419E-04,.69387E+03,0.376E-04,  32.02335,  -0.03287,    0.3311412227E+04,    0.3901442642E+04,    0.1819880405E+04,    0.2209858284E+04
  20,0.139E+02,0.577E+00,  3522.881, 0.327E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.520E-04,0.104E+03,0.452E-04,.69413E+03,0.426E-04,  32.01708,  -0.03284,    0.3316643399E+04,    0.3901507821E+04,    0.1819670042E+04,    0.2209890070E+04
  21,0.139E+02,0.577E+00,  3522.881, 0.399E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.589E-04,0.118E+03,0.488E-04,.69444E+03,0.481E-04,  32.00860,  -0.03281,    0.3323029220E+04,    0.3901587399E+04,    0.1819413245E+04,    0.2209928865E+04
  22,0.139E+02,0.577E+00,  3522.881, 0.486E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.666E-04,0.133E+03,0.527E-04,.69482E+03,0.544E-04,  31.99746,  -0.03278,    0.3330825439E+04,    0.3901684570E+04,    0.1819099728E+04,    0.2209976216E+04
  23,0.139E+02,0.577E+00,  3522.881, 0.592E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.753E-04,0.151E+03,0.568E-04,.69528E+03,0.615E-04,  31.98306,  -0.03274,    0.3340344856E+04,    0.3901803243E+04,    0.1818716909E+04,    0.2210034018E+04
  24,0.139E+02,0.577E+00,  3522.881, 0.722E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.852E-04,0.170E+03,0.614E-04,.69584E+03,0.695E-04,  31.96473,  -0.03269,    0.3351970233E+04,    0.3901948209E+04,    0.1818249392E+04,    0.2210104583E+04
  25,0.139E+02,0.577E+00,  3522.881, 0.880E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.964E-04,0.193E+03,0.663E-04,.69653E+03,0.786E-04,  31.94162,  -0.03263,    0.3366170200E+04,    0.3902125336E+04,    0.1817678327E+04,    0.2210190739E+04
  26,0.139E+02,0.577E+00,  3522.881, 0.107E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.109E-03,0.218E+03,0.716E-04,.69737E+03,0.888E-04,  31.91272,  -0.03257,    0.3383518896E+04,    0.3902341825E+04,    0.1816980616E+04,    0.2210295945E+04
  27,0.139E+02,0.577E+00,  3522.881, 0.131E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.123E-03,0.247E+03,0.774E-04,.69839E+03,0.100E-03,  31.87679,  -0.03250,    0.3404720260E+04,    0.3902606516E+04,    0.1816127939E+04,    0.2210424435E+04
  28,0.139E+02,0.577E+00,  3522.881, 0.160E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.140E-03,0.279E+03,0.837E-04,.69963E+03,0.113E-03,  31.83237,  -0.03241,    0.3430638138E+04,    0.3902930281E+04,    0.1815085536E+04,    0.2210581387E+04
  29,0.139E+02,0.577E+00,  3522.881, 0.195E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.158E-03,0.316E+03,0.906E-04,.70113E+03,0.128E-03,  31.77768,  -0.03231,    0.3462333683E+04,    0.3903326505E+04,    0.1813810705E+04,    0.2210773148E+04
  30,0.139E+02,0.577E+00,  3522.881, 0.239E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.179E-03,0.357E+03,0.980E-04,.70296E+03,0.144E-03,  31.71060,  -0.03219,    0.3501111926E+04,    0.3903811695E+04,    0.1812250918E+04,    0.2211007488E+04
  31,0.139E+02,0.577E+00,  3522.881, 0.292E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.200E+07,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.202E-03,0.404E+03,0.106E-03,.70518E+03,0.163E-03,  31.62860,  -0.03206,    0.3548579919E+04,    0.3904406248E+04,    0.1810341479E+04,    0.2211293935E+04
