N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
   1,0.683E+01,.57735E+00,  3522.881, 0.904E-04,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.500E-05,0.100E+02,0.129E-03,.24370E+04,0.116E-05,  -8.94272,   0.01002,    0.1069056805E+06,    0.3325683874E+05,    0.6073077463E+05,    0.1911884121E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2420696304E+09,    0.5184241773E+04
   2,0.683E+01,.57735E+00,  3522.881, 0.102E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.566E-05,0.113E+02,0.132E-03,.24364E+04,0.132E-05,  -8.88361,   0.00996,    0.1069239290E+06,    0.3325698413E+05,    0.6068959734E+05,    0.1911862285E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2140481940E+09,    0.5091608773E+04
   3,0.683E+01,.57735E+00,  3522.881, 0.116E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.640E-05,0.128E+02,0.133E-03,.24358E+04,0.149E-05,  -8.87192,   0.00995,    0.1069447305E+06,    0.3325714998E+05,    0.6064268707E+05,    0.1911837411E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1892780001E+09,    0.5053185031E+04
   4,0.683E+01,.57735E+00,  3522.881, 0.132E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.724E-05,0.145E+02,0.134E-03,.24350E+04,0.169E-05,  -8.85918,   0.00994,    0.1069684537E+06,    0.3325733928E+05,    0.6058922429E+05,    0.1911809066E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1673819880E+09,    0.5012683103E+04
   5,0.683E+01,.57735E+00,  3522.881, 0.150E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.819E-05,0.164E+02,0.135E-03,.24342E+04,0.191E-05,  -8.84522,   0.00993,    0.1069955230E+06,    0.3325755548E+05,    0.6052826800E+05,    0.1911776750E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1480268409E+09,    0.4969988433E+04
   6,0.683E+01,.57735E+00,  3522.881, 0.171E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.926E-05,0.185E+02,0.137E-03,.24332E+04,0.216E-05,  -8.82988,   0.00992,    0.1070264276E+06,    0.3325780257E+05,    0.6045873689E+05,    0.1911739893E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1309179122E+09,    0.4924984648E+04
   7,0.683E+01,.57735E+00,  3522.881, 0.194E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.105E-04,0.210E+02,0.138E-03,.24321E+04,0.245E-05,  -8.81293,   0.00991,    0.1070617319E+06,    0.3325808518E+05,    0.6037938742E+05,    0.1911697838E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1157947411E+09,    0.4877554431E+04
   8,0.683E+01,.57735E+00,  3522.881, 0.221E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.119E-04,0.237E+02,0.140E-03,.24308E+04,0.277E-05,  -8.79416,   0.00989,    0.1071020883E+06,    0.3325840869E+05,    0.6028878846E+05,    0.1911649827E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1024270874E+09,    0.4827580571E+04
   9,0.683E+01,.57735E+00,  3522.881, 0.252E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.134E-04,0.268E+02,0.142E-03,.24294E+04,0.313E-05,  -8.77328,   0.00988,    0.1071482512E+06,    0.3325877932E+05,    0.6018529169E+05,    0.1911594993E+05,    0.4025672026E+06,    0.4533332048E+06,    0.9061142675E+08,    0.4774947214E+04
  10,0.683E+01,.57735E+00,  3522.881, 0.287E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.152E-04,0.303E+02,0.144E-03,.24277E+04,0.355E-05,  -8.74998,   0.00986,    0.1072010951E+06,    0.3325920436E+05,    0.6006699723E+05,    0.1911532331E+05,    0.4025672026E+06,    0.4533332048E+06,    0.8016785299E+08,    0.4719541305E+04
  11,0.683E+01,.57735E+00,  3522.881, 0.328E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.172E-04,0.343E+02,0.146E-03,.24259E+04,0.402E-05,  -8.72388,   0.00984,    0.1072616343E+06,    0.3325969231E+05,    0.5993171374E+05,    0.1911460687E+05,    0.4025672026E+06,    0.4533332048E+06,    0.7093733879E+08,    0.4661254256E+04
  12,0.683E+01,.57735E+00,  3522.881, 0.374E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.194E-04,0.388E+02,0.148E-03,.24237E+04,0.455E-05,  -8.69455,   0.00981,    0.1073310480E+06,    0.3326025313E+05,    0.5977691203E+05,    0.1911378730E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6277931487E+08,    0.4599983809E+04
  13,0.683E+01,.57735E+00,  3522.881, 0.428E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.220E-04,0.439E+02,0.151E-03,.24212E+04,0.515E-05,  -8.66150,   0.00978,    0.1074107083E+06,    0.3326089849E+05,    0.5959967138E+05,    0.1911284922E+05,    0.4025672026E+06,    0.4533332048E+06,    0.5556952967E+08,    0.4535636123E+04
  14,0.683E+01,.57735E+00,  3522.881, 0.490E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.248E-04,0.497E+02,0.154E-03,.24183E+04,0.583E-05,  -8.62415,   0.00975,    0.1075022155E+06,    0.3326164215E+05,    0.5939661734E+05,    0.1911177493E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4919815728E+08,    0.4468128038E+04
  15,0.683E+01,.57735E+00,  3522.881, 0.561E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.281E-04,0.562E+02,0.157E-03,.24150E+04,0.660E-05,  -8.58180,   0.00972,    0.1076074389E+06,    0.3326250038E+05,    0.5916385011E+05,    0.1911054396E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4356812464E+08,    0.4397389515E+04
  16,0.683E+01,.57735E+00,  3522.881, 0.644E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.318E-04,0.636E+02,0.160E-03,.24113E+04,0.748E-05,  -8.53365,   0.00967,    0.1077285657E+06,    0.3326349243E+05,    0.5889686222E+05,    0.1910913273E+05,    0.4025672026E+06,    0.4533332048E+06,    0.3859363251E+08,    0.4323366227E+04
  17,0.683E+01,.57735E+00,  3522.881, 0.739E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.360E-04,0.719E+02,0.164E-03,.24069E+04,0.848E-05,  -8.47877,   0.00962,    0.1078681610E+06,    0.3326464124E+05,    0.5859044470E+05,    0.1910751401E+05,    0.4025672026E+06,    0.4533332048E+06,    0.3419884747E+08,    0.4246022272E+04
  18,0.683E+01,.57735E+00,  3522.881, 0.850E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.407E-04,0.813E+02,0.168E-03,.24019E+04,0.961E-05,  -8.41605,   0.00957,    0.1080292383E+06,    0.3326597418E+05,    0.5823858086E+05,    0.1910565648E+05,    0.4025672026E+06,    0.4533332048E+06,    0.3031674475E+08,    0.4165343016E+04
  19,0.683E+01,.57735E+00,  3522.881, 0.979E-03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.460E-04,0.920E+02,0.173E-03,.23960E+04,0.109E-04,  -8.34418,   0.00950,    0.1082153460E+06,    0.3326752413E+05,    0.5783432762E+05,    0.1910352407E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2688808370E+08,    0.4081338139E+04
  20,0.683E+01,.57735E+00,  3522.881, 0.113E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.520E-04,0.104E+03,0.178E-03,.23893E+04,0.124E-04,  -8.26161,   0.00942,    0.1084306712E+06,    0.3326933072E+05,    0.5736968524E+05,    0.1910107539E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2386049961E+08,    0.3994045044E+04
  21,0.683E+01,.57735E+00,  3522.881, 0.131E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.589E-04,0.118E+03,0.184E-03,.23815E+04,0.140E-04,  -8.16652,   0.00933,    0.1086801664E+06,    0.3327144202E+05,    0.5683545814E+05,    0.1909826307E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2118769659E+08,    0.3903533041E+04
  22,0.683E+01,.57735E+00,  3522.881, 0.151E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.666E-04,0.133E+03,0.191E-03,.23725E+04,0.159E-04,  -8.05673,   0.00923,    0.1089697025E+06,    0.3327391667E+05,    0.5622111259E+05,    0.1909503319E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1882872671E+08,    0.3809909083E+04
  23,0.683E+01,.57735E+00,  3522.881, 0.175E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.753E-04,0.151E+03,0.198E-03,.23621E+04,0.181E-04,  -7.92965,   0.00911,    0.1093062561E+06,    0.3327682668E+05,    0.5551464251E+05,    0.1909132468E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1674734057E+08,    0.3713326496E+04
  24,0.683E+01,.57735E+00,  3522.881, 0.204E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.852E-04,0.170E+03,0.207E-03,.23499E+04,0.206E-04,  -7.78219,   0.00896,    0.1096981367E+06,    0.3328026107E+05,    0.5470246321E+05,    0.1908706913E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1491139227E+08,    0.3613999241E+04
  25,0.683E+01,.57735E+00,  3522.881, 0.238E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.964E-04,0.193E+03,0.217E-03,.23357E+04,0.234E-04,  -7.61068,   0.00879,    0.1101552601E+06,    0.3328433078E+05,    0.5376936864E+05,    0.1908219086E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1329227788E+08,    0.3512225982E+04
  26,0.683E+01,.57735E+00,  3522.881, 0.278E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.109E-03,0.218E+03,0.228E-03,.23193E+04,0.267E-04,  -7.41074,   0.00859,    0.1106894749E+06,    0.3328917509E+05,    0.5269861268E+05,    0.1907660793E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1186437950E+08,    0.3408430856E+04
  27,0.683E+01,.57735E+00,  3522.881, 0.326E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.123E-03,0.247E+03,0.241E-03,.23001E+04,0.304E-04,  -7.17717,   0.00836,    0.1113149375E+06,    0.3329497026E+05,    0.5147221839E+05,    0.1907023448E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1060447530E+08,    0.3303231588E+04
  28,0.683E+01,.57735E+00,  3522.881, 0.385E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.140E-03,0.279E+03,0.257E-03,.22778E+04,0.348E-04,  -6.90384,   0.00808,    0.1120485161E+06,    0.3330194077E+05,    0.5007168840E+05,    0.1906298552E+05,    0.4025672026E+06,    0.4533332048E+06,    0.9491062588E+07,    0.3197550170E+04
  29,0.683E+01,.57735E+00,  3522.881, 0.455E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.158E-03,0.316E+03,0.275E-03,.22520E+04,0.398E-04,  -6.58368,   0.00775,    0.1129101588E+06,    0.3331037381E+05,    0.4847939613E+05,    0.1905478552E+05,    0.4025672026E+06,    0.4533332048E+06,    0.8503535151E+07,    0.3092785005E+04
  30,0.683E+01,.57735E+00,  3522.881, 0.541E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.179E-03,0.357E+03,0.296E-03,.22221E+04,0.456E-04,  -6.20872,   0.00737,    0.1139230780E+06,    0.3332063672E+05,    0.4668107650E+05,    0.1904558323E+05,    0.4025672026E+06,    0.4533332048E+06,    0.7621194910E+07,    0.2991060911E+04
  31,0.683E+01,.57735E+00,  3522.881, 0.645E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.202E-03,0.404E+03,0.320E-03,.21878E+04,0.524E-04,  -5.77060,   0.00692,    0.1151134476E+06,    0.3333319541E+05,    0.4466994844E+05,    0.1903537498E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6822252890E+07,    0.2895550965E+04
  32,0.683E+01,.57735E+00,  3522.881, 0.774E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.229E-03,0.457E+03,0.348E-03,.21490E+04,0.604E-04,  -5.26159,   0.00639,    0.1165090958E+06,    0.3334862797E+05,    0.4245287462E+05,    0.1902423798E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6083440390E+07,    0.2810794717E+04
  33,0.683E+01,.57735E+00,  3522.881, 0.933E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.258E-03,0.517E+03,0.379E-03,.21062E+04,0.697E-04,  -4.67689,   0.00578,    0.1181365208E+06,    0.3336762127E+05,    0.4005809408E+05,    0.1901236947E+05,    0.4025672026E+06,    0.4533332048E+06,    0.5381632804E+07,    0.2742784490E+04
  34,0.683E+01,.57735E+00,  3522.881, 0.113E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.292E-03,0.585E+03,0.411E-03,.20604E+04,0.806E-04,  -4.01854,   0.00509,    0.1200158989E+06,    0.3339093353E+05,    0.3754178381E+05,    0.1900011437E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4699181342E+07,    0.2698360674E+04
  35,0.683E+01,.57735E+00,  3522.881, 0.137E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.331E-03,0.662E+03,0.443E-03,.20139E+04,0.932E-04,  -3.30083,   0.00434,    0.1221552307E+06,    0.3341931391E+05,    0.3498741958E+05,    0.1898794763E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4032257909E+07,    0.2683341366E+04
  36,0.683E+01,.57735E+00,  3522.881, 0.165E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.374E-03,0.748E+03,0.471E-03,.19697E+04,0.108E-03,  -2.55523,   0.00356,    0.1245471795E+06,    0.3345340584E+05,    0.3249145823E+05,    0.1897637917E+05,    0.4025672026E+06,    0.4533332048E+06,    0.3395875728E+07,    0.2699318275E+04
  37,0.683E+01,.57735E+00,  3522.881, 0.199E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.423E-03,0.847E+03,0.492E-03,.19308E+04,0.124E-03,  -1.82983,   0.00280,    0.1271726594E+06,    0.3349370551E+05,    0.3013692151E+05,    0.1896579862E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2817614250E+07,    0.2740544264E+04
  38,0.683E+01,.57735E+00,  3522.881, 0.238E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.479E-03,0.958E+03,0.507E-03,.18997E+04,0.143E-03,  -1.17931,   0.00213,    0.1300106803E+06,    0.3354063359E+05,    0.2796919430E+05,    0.1895634440E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2322183055E+07,    0.2793741187E+04
  39,0.683E+01,.57735E+00,  3522.881, 0.284E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.542E-03,0.108E+04,0.516E-03,.18772E+04,0.164E-03,  -0.64810,   0.00158,    0.1330478919E+06,    0.3359468585E+05,    0.2598936404E+05,    0.1894787602E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1919426299E+07,    0.2842471202E+04
  40,0.683E+01,.57735E+00,  3522.881, 0.335E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.613E-03,0.123E+04,0.523E-03,.18627E+04,0.187E-03,  -0.25708,   0.00119,    0.1362815972E+06,    0.3365656457E+05,    0.2416581325E+05,    0.1894004239E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1603382330E+07,    0.2873731922E+04
  41,0.683E+01,.57735E+00,  3522.881, 0.395E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.693E-03,0.139E+04,0.528E-03,.18547E+04,0.212E-03,  -0.00169,   0.00094,    0.1397161244E+06,    0.3372723352E+05,    0.2245296024E+05,    0.1893237969E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1358670511E+07,    0.2882067692E+04
  42,0.683E+01,.57735E+00,  3522.881, 0.463E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.784E-03,0.157E+04,0.533E-03,.18516E+04,0.240E-03,   0.14026,   0.00082,    0.1433566202E+06,    0.3380791493E+05,    0.2080740931E+05,    0.1892438855E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1167553535E+07,    0.2868979602E+04
  43,0.683E+01,.57735E+00,  3522.881, 0.540E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.887E-03,0.177E+04,0.538E-03,.18517E+04,0.272E-03,   0.19790,   0.00078,    0.1472039143E+06,    0.3390007333E+05,    0.1919808539E+05,    0.1891557597E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1014474880E+07,    0.2839482568E+04
  44,0.683E+01,.57735E+00,  3522.881, 0.628E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.100E-02,0.201E+04,0.544E-03,.18539E+04,0.307E-03,   0.19849,   0.00082,    0.1512519371E+06,    0.3400541465E+05,    0.1761055622E+05,    0.1890546497E+05,    0.4025672026E+06,    0.4533332048E+06,    0.8878736305E+06,    0.2798817313E+04
  45,0.683E+01,.57735E+00,  3522.881, 0.730E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.113E-02,0.227E+04,0.551E-03,.18574E+04,0.347E-03,   0.16280,   0.00089,    0.1554876314E+06,    0.3412590635E+05,    0.1604677157E+05,    0.1889357832E+05,    0.4025672026E+06,    0.4533332048E+06,    0.7801371288E+06,    0.2750793161E+04
  46,0.683E+01,.57735E+00,  3522.881, 0.846E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.128E-02,0.257E+04,0.558E-03,.18618E+04,0.391E-03,   0.10398,   0.00099,    0.1598927503E+06,    0.3426381341E+05,    0.1452174804E+05,    0.1887940381E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6866513739E+06,    0.2697580679E+04
  47,0.683E+01,.57735E+00,  3522.881, 0.979E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.145E-02,0.290E+04,0.565E-03,.18670E+04,0.442E-03,   0.02882,   0.00111,    0.1644469409E+06,    0.3442174444E+05,    0.1305878947E+05,    0.1886234894E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6046865097E+06,    0.2640186217E+04
